SEEA,SEEA (Subtypes),SEEA Code,SEEA Description ,,CICES (v5.1) Class,"CICES Code
",NESCS,"NESCS Code  
(WWW.XXX.YYY.ZZZ)
WWW: Environmental classes
XXX: Ecological end-product classes
YYY: Direct use classes
ZZZ: Direct user classes
",IPBES,"IPBES Reporting Categories of Nature's Contribution to People

",MA,TEEB,,,,,,,,,,,,,
,,,,,Fibres and other materials from wild animals for direct use or processing (excluding genetic materials),1.1.6.2,,(11/12/21/23/24/25/27)W.5X.101.(111/211),"Materials and assistance, Medicinal, biochemical and genetic resources","13, 14","Fibre, Timber, Ornamental, Biochemical",Raw materials; Medicinal resources,,,,,,,,,,,,,
,,,,,Wild animals (terrestrial and aquatic)  used as a source of energy,1.1.6.3,,(11/12/21/23/24/25/27)W.5X.107.(111/211),Energy,11,"Fibre, Timber, Ornamental, Biochemical",Raw materials; Medicinal resources,,,,,,,,,,,,,
,"Wild animals, plants and other biomass provisioning services
",1.7,"Wild animals, plants and other biomass provisioning services are the ecosystem contributions to the growth of wild animals, plants and other biomass that are captured and harvested in uncultivated production contexts by economic units for various uses. The scope includes non-wood forest products (NWFP)  and services related to hunting, trapping and bio-prospecting activities; but excludes wild fish and other natural aquatic biomass (included in previous class). This is a final ecosystem service",,Fibres and other materials from wild plants for direct use or processing  (excluding genetic materials),1.1.5.2,"Flora OR Fauna OR Other Biotic and Natural Components—Raw Material For Transformation OR Cultural/Spiritual activities OR Information, Science, Education & Research",(11/12/21/23/24/25/27)W.5X.101.(111/211),"Materials and assistance, Medicinal, biochemical and genetic resources","13, 14","Fibre, Timber, Ornamental, Biochemical",Raw materials (Sub-service: Fibers),,,,,,,,,,,,,
,,,,,"Wild plants (terrestrial and aquatic, including fungi, algae) used as a source of energy",1.1.5.3,,(11/12/21/23/24/25/27)W.5X.107.(111/211),Energy,11,"Fibre, Timber, Ornamental, Biochemical",Raw materials (Sub-service: Fuel wood and charcoal),,,,,,,,,,,,,
,,,,,Wild animals (terrestrial and aquatic) used for nutritional purposes,1.1.6.1,,(11/12/21/23/24/25/27)W.4X.(101/109).(111/211),Food and feed,12,Food,Food (Sub-service: Meat),,,,,,,,,,,,,
,,,,,Fibres and other materials from wild animals for direct use or processing (excluding genetic materials),1.1.6.2,,(11/12/21/23/24/25/27)W.5X.101.(111/211),"Materials and assistance, Medicinal, biochemical and genetic resources","13, 14","Fibre, Timber, Ornamental, Biochemical",Raw materials (Sub-service: Fibers),,,,,,,,,,,,,
,,,,,Wild animals (terrestrial and aquatic)  used as a source of energy,1.1.6.3,,(11/12/21/23/24/25/27)W.5X.107.(111/211),Energy,11,"Fibre, Timber, Ornamental, Biochemical",,,,,,,,,,,,,,
,,,,,"Wild plants (terrestrial and aquatic, including fungi, algae) used for nutrition",1.1.5.1,Fauna—Raw Material For Transformation OR Support Human Life OR Recreation/Tourism,(11/12/21/23/24/25/27)W.5X.(101/109).(111/211),Food and feed,12,Food,Food (Sub-service: Plants / vegetable food),,,,,,,,,,,,,
Genetic material services,,1.8,"Genetic material services are the ecosystem contributions from all biota (including seed, spore or gamete production) that are used by economic units, for example (i) to develop new animal and plant breeds; (ii) in gene synthesis; or (iii) in product development directly using genetic material. This is most commonly recorded as an intermediate service to biomass provisioning.",,"Seeds, spores and other plant materials collected for maintaining or establishing a population",1.2.1.1,"Flora OR Fauna OR Other Biotic and Natural Components— Information, Science, Education & Research",(1/2)WW.(5/6/7)X.(101/102/108/109/111/112/113).(111/131/154/161/181/211/399),"Habitat creation and maintenance, Materials and assistance, Medicinal, biochemical and genetic resources",2014-01-13 00:00:00,Genetic materials,Genetic Resources (Sub-service: Plant genetic resources),,,,,,,,,,,,,
,,,,,Higher and lower plants (whole organisms) used to breed new strains or varieties,1.2.1.2,,(1/2)WW.(5/7)X.(101/108/109/111/112/113).(111/131/154/161/181/211/399),"Medicinal, biochemical and genetic resources",14,Genetic materials,Genetic Resources (Sub-service: Plant genetic resources),,,,,,,,,,,,,
,,,,,Individual genes extracted from higher and lower plants for the design and construction of new biological entities,1.2.1.3,,(1/2)WW.7X.(101/102/108/109/111/112/113).(111/131-133/154/161/181/211/399),"Medicinal, biochemical and genetic resources",14,Genetic materials,Genetic Resources (Sub-service: Plant genetic resources),,,,,,,,,,,,,
,,,,,Animal material collected for the purposes of maintaining or establishing a population,1.2.2.1,,(1/2)WW.(4/7)X.(101/102/108/109/111/112/113).(111/131/154/161/181/211/399),"Habitat creation and maintenance, Materials and assistance, Medicinal, biochemical and genetic resources",2014-01-13 00:00:00,Genetic materials,Genetic Resources (Sub-service: Animal genetic resources),,,,,,,,,,,,,
,,,,,Wild animals  (whole organisms) used to breed  new strains or varieties,1.2.2.2,,(1/2)WW.(4/7)X.(101/102/108/109/111/112/113).(111/131/154/161/181/211/399),"Medicinal, biochemical and genetic resources",14,Genetic materials,Genetic Resources (Sub-service: Animal genetic resources),,,,,,,,,,,,,
,,,,,Individual genes extracted from organisms  for the design and construction of new biological entities,1.2.2.3,,(1/2)WW.7X.(101/102/108/109/111/112/113).(154/161/181/211/399),"Medicinal, biochemical and genetic resources",14,Genetic materials,Genetic resources,,,,,,,,,,,,,
Water supply,,1.9,"Water supply services reflect the combined ecosystem contributions of water flow regulation, water purification, and other ecosystem services to the supply of water of appropriate quality to users for various uses including household consumption. This is a final ecosystem service. ",,Regulation of the chemical condition of freshwaters by living processes,2.2.5.1,"11W.Water.(any of 12 of 14 Uses subclasses, incl. Fuel/energy)- extractive.ZZZ",11W.3X.(101/102/103/106/108/109/111-114).(111-133/154/161/162/171/172/181/211/399),Regulation of freshwater and coastal water quality,7,Fresh water,Waste treatment (Sub-service: Water purification),,,,,,,,,,,,,
,,,,,Surface water for drinking,4.2.1.1,,11W.3X.(101/102/103/108/109/111/112).(111/122/131/211/399),Not assigned,,No equivalent,Water (Sub-service: Drinking water),,,,,,,,,,,,,
,,,,,Surface water used as a material (non-drinking purposes),4.2.1.2,,11W.3X.(101-106/110-114).(111-133/148/153/154/161/162/171/181/211/399),Not assigned,,No equivalent,Water (Sub-service: Industrial water; Irrigation water),,,,,,,,,,,,,
,,,,,Freshwater surface water used as an energy source,4.2.1.3,,(111/112).3X.107.(111/121-133/148/154/181/211/399),Not assigned,,No equivalent,No equivalent,,,,,,,,,,,,,
,,,,,Coastal and marine water used as energy source,4.2.1.4,,113.3X.107.(111/121-133/148/154/181/211/399),Not assigned,,No equivalent,No equivalent,,,,,,,,,,,,,
Other provisioning services,,1.10,,,Animals reared  for nutritional purposes,1.1.3.1,,"(1/2)WW.4X.(101/102/105/109/111/112/113).(111/161/211/399); (YYY=105 for animals fed human food waste to convert to new food, a second benefit in addition to the new meat. Traditionally, e.g., pigs, then certain aquaculture fish, mealworms, etc.)",Food and feed,12,Food,Food (Sub-service: Fish; Meat),,,,,,,,,,,,,
,,,,,Fibres and other materials from reared animals for direct use or processing (excluding genetic materials),1.1.3.2,,(1/2)WW.(4/7)X.(101/102/109/111/112/113).(111/161/211/399),"Materials and assistance, Medicinal, biochemical and genetic resources","13, 14","Fibre, Timber, Ornamental, Biochemical","Raw materials, medicinal resources",,,,,,,,,,,,,
,,,,,Animals reared to provide energy (including mechanical),1.1.3.3,,2WW.(4/7)X.107.(111/122/154/161/211/399),Energy,11,"Fibre, Timber, Ornamental, Biochemical","Raw materials, medicinal resources",,,,,,,,,,,,,
,,,,,Animals reared by in-situ aquaculture as an energy source,1.1.4.3,,1WW.(4/7)X.107.(111/122/154/161/211/399),Energy,11,"Fibre, Timber, Ornamental, Biochemical","Raw materials, medicinal resources",,,,,,,,,,,,,
Global climate  regulation services,,2.1,"Global climate regulation services are the ecosystem contributions to the regulation of the chemical composition of the atmosphere and oceans that affect global climate through the accumulation and retention of carbon and other GHG (e.g., methane) in ecosystems and the ability of ecosystems to remove (sequester) carbon from the atmosphere. This is a final ecosystem service.",,Regulation of chemical composition of atmosphere and oceans,2.2.6.1,(generally not a final ES) Other Biotic and Natural Components (Carbon) —Support or Protect Human Health and Life OR Support Protection of Human Property,(1/2)WW.(1/7?).(109/110).(211/399),Regulation of climate,4,Atmospheric / Climate regulation,Climate regulation (Sub-service: Carbon sequestration),,,,,,,,,,,,,
Rainfall pattern regulation services   (at sub-continental scale),,2.2,"Rainfall pattern regulation services are the ecosystem contributions of vegetation, in particular forests, in maintaining rainfall patterns through evapotranspiration at the sub-continental scale. Forests and other vegetation recycle moisture back to the atmosphere where it is available for the generation of rainfall. Rainfall in interior parts of continents fully depends upon this recycling. This may be a final or intermediate service.",,"Hydrological cycle and water flow regulation (Including flood control, and coastal protection)",2.2.1.3,"(if rain as crop input, separate from cumulative ""biomass provisioning"") Water—Support Plant Cultivation (flood control and coastal protection are not in this set)",2WW.3.108.(111/161/211/399),"Regulation of freshwater quantity, location and timing",6,Water regulation,Regulation of water flows; Moderation of extreme events,,,,,,,,,,,,,
Local (micro and meso) climate regulation services,,2.3,"Local climate regulation services are the ecosystem contributions to the regulation of ambient atmospheric conditions (including micro and mesoscale climates) through the presence of vegetation that improves the living conditions for people and supports economic production. Examples include the evaporative cooling provided by urban trees (‘green space’), the role of urban water bodies (‘blue space’) and the contribution of trees in providing shade for humans and livestock. This may be a final or intermediate service.",,"Regulation of temperature and humidity, including ventilation and transpiration",2.2.6.2,"Flora—Support or Protect Human Health and Life OR Support Protection of Human Property (e.g., -$ for air conditioning)",(1?/2)WW.5.(108-113).(1/2/3)ZZ,Regulation of climate,4,Atmospheric regulation,Microclimate regulation,,,,,,,,,,,,,
Air filtration services,,2.4,"Air filtration services are the ecosystem contributions to the filtering of air-borne pollutants through the deposition, uptake, fixing and storage of pollutants by ecosystem components, particularly plants, that mitigates the harmful effects of the pollutants. This is most commonly a final ecosystem service. ",,"Filtration/sequestration/storage/accumulation by micro-organisms, algae, plants, and animals",2.1.1.2,Flora OR Composite—Support Human Health,2WW.(5/8).(106/108/109/111/112/113).(1/2/3)ZZ,Regulation of air quality,3,Air quality regulation,Air quality regulation (Sub-service: Capturing fine dust),,,,,,,,,,,,,
,,,,,Smell reduction,2.1.2.1,,2WW.(5/8).(106/108/109/111/112/113).(1/2/3)ZZ,,,,,,,,,,,,,,,,,
,,,,,Dilution by atmosphere,5.1.1.2,,(1/2)WW.1.(106/108/109/111/112/113).(1/2/3)ZZ,,,,,,,,,,,,,,,,,
Soil quality regulation services,,2.5,"Soil quality regulation services are the ecosystem contributions to the decomposition of organic and inorganic materials and to the fertility and characteristics of soils, e.g., for input to biomass production. This is most commonly recorded as an intermediate service. ",,Weathering processes and their effect on soil quality,2.2.4.1,"(if soil fertility as crop input, separate from cumulative ""biomass provisioning"") Soil—Support of Plant or Animal Cultivation",(21-24/27)W.2.108.(111/161/211),"Formation, protection and decontamination of soils and sediments",8,Soil formation (supporting service),Maintenance of soil fertility (Sub-services: Maintenance of soil structure; Deposition of nutrients; Soil formation; Nutrient cycling),,,,,,,,,,,,,
,,,,,Decomposition and fixing processes and their effect on soil quality                   ,2.2.4.2,,,,,,,,,,,,,,,,,,,
Soil and sediment retention services,soil erosion control services,2.6," Soil erosion control services are the ecosystem contributions, particularly the stabilising effects of vegetation, that reduce the loss of soil (and sediment) and support use of the environment (e.g., agricultural activity, water supply). This is may be recorded as a final or intermediate service.",,Control of erosion rates,2.2.1.1,Soil—Support of Plant or Animal Cultivation OR Support Protection of Human Property (not getting coated in eroded soil),2WW.2.(108/110).(111/161/211/399),"Formation, protection and decontamination of soils and sediments",8,Erosion regulation,Erosion prevention,,,,,,,,,,,,,
,Landslide mitigation,2.7,"Landslide mitigation services are the ecosystem contributions, particularly the stabilising effects of vegetation, that mitigates or prevents potential damage to human health and safety and damaging effects to buildings and infrastructure that arise from the mass movement (wasting) of soil, rock and snow. This is a final ecosystem service.",,Buffering and attenuation of mass movement,2.2.1.2,,,Regulation of hazards and extreme events,9,Erosion regulation,Moderation of extreme events,,,,,,,,,,,,,
Solid waste remediation  ,,2.8,"Solid waste remediation services are the ecosystem contributions to the transformation of organic or inorganic substances, through the action of micro-organisms, algae, plants and animals that mitigates their harmful effects. This is may be recorded as a final or intermediate service. ",,"Bio-remediation by micro-organisms, algae, plants, and animals",2.1.1.1,Composite—Waste Disposal/Assimilation OR Support or Protect Human Health and Life,(1/2)WW.8.(105/109).(1/2/3)ZZ,"Formation, protection and decontamination of soils and sediments, Regulation of organisms detrimental to humans",2021-08-10 00:00:00,"Water purification and water treatment, air quality regulation",Waste treatment,,,,,,,,,,,,,
,,,,,"Mediation by other chemical or physical means (e.g. via Filtration, sequestration, storage or accumulation)",5.1.1.3,,,,,,,,,,,,,,,,,,,
,,,,,Mediation of nuisances by abiotic structures or processes,5.1.2.1,,,,,,,,,,,,,,,,,,,
Water purification services (water quality amelioration),Retention and breakdown of nutrients ,2.9,Water purification services are the ecosystem contributions to the restoration and maintenance of the chemical condition of surface water and groundwater bodies through the breakdown or removal of nutrients and other pollutants by ecosystem components that mitigate the harmful effects of the pollutants on human use or health. This may be recorded as a final or intermediate ecosystem service.,,Regulation of the chemical condition of freshwaters by living processes,2.2.5.1,Composite—Waste Disposal/Assimilation OR Support or Protect Human Health and Life ,(1/2)WW.8.(105/108/109111/112/113).(1/2/3)ZZ,Regulation of freshwater and coastal water quality,7,Water regulation,Waste treatment (Sub-service: Water purification),,,,,,,,,,,,,
,Retention and breakdown of other pollutants,2.10,,,Regulation of the chemical condition of freshwaters by living processes,2.2.5.1,,,Not assigned,,No equivalent,No equivalent,,,,,,,,,,,,,
,,,,,Dilution by freshwater and marine ecosystems      ,5.1.1.1,,,,,,,,,,,,,,,,,,,
,,,,,Maintenance and regulation by inorganic natural chemical and physical processes,5.2.2.1,,,,,,,,,,,,,,,,,,,
Water flow regulation services ,Baseline flow maintenance services,2.11,"Water regulation services are the ecosystem contributions to the regulation of river flows and groundwater and lake water tables. They are derived from the ability of ecosystems to absorb and store water, and gradually release water during dry seasons or periods through evapotranspiration and hence secure a regular flow of water. This may be recorded as a final or intermediate ecosystem service.",,"Hydrological cycle and water flow regulation (Including flood control, and coastal protection)",2.2.1.3,"Environment (""WWW"") matters here so extended description included: Near Coastal Marine/Estuarine OR (any of 7 of 9 Terrestrial subclasses)—Composite—Support or Protect Human Health and Life OR Support Protection of Human Property  (code includes prevention of floods that overwhelm farms and ranches, YYY=108)",(1/2)WW.8.(108-110).(1/2/3)ZZ,"Regulation of freshwater quantity, location and timing",6,Water regulation,Regulation of water flows; Regulation of extreme events,,,,,,,,,,,,,
,Peak flow mitigation services,2.12,"Water regulation services are the ecosystem contributions to the regulation of river flows and groundwater and lake water tables. They are derived from the ability of ecosystems to absorb and store water, and hence mitigate the effects of flood and other extreme water-related events. Peak flow mitigation services will be supplied together with river flood mitigation services in providing the benefit of flood protection. This is a final ecosystem service.",,,,,,,,,,,,,,,,,,,,,,
Flood mitigation services,Coastal protection services,2.13,"Coastal protection services are the ecosystem contributions of linear elements in the seascape, for instance coral reefs, sand banks, dunes or mangrove ecosystems along the shore, in protecting the shore and thus mitigating the impacts of tidal surges or storms on local communities. This is a final ecosystem service.",,"Hydrological cycle and water flow regulation (Including flood control, and coastal protection)",2.2.1.3,"Environment matters here so extended description included: Near Coastal Marine/Estuarine (specifically separating from any of 7 of 9 Terrestrial subclasses)—Composite—Support or Protect Human Health and Life OR Support Protection of Human Property (code includes prevention of floods that overwhelm farms and ranches, YYY=108)",113.8.(108-110).(1/2/3)ZZ,Regulation of hazards and extreme events,9,Water regulation,Regulation of extreme events (Sub-services: Storm protection; Flood prevention),,,,,,,,,,,,,
,,,,,Regulation of baseline flows and extreme events (liquid flows)? ,5.2.1.2,,,,,,,,,,,,,,,,,,,
,River flood mitigation services,2.14,River flood mitigation services are the ecosystem contributions of riparian vegetation which provides structure and a physical barrier to high water levels and thus mitigates the impacts of floods on local communities. River flood mitigation services will be supplied together with peak flow mitigation services in providing the benefit of flood protection. This is a final ecosystem service.,,Buffering and attenuation of mass movement,2.2.1.2,,(1/2)WW.8.(108-110).(1/2/3)ZZ,Regulation of hazards and extreme events,9,Water regulation,Regulation of extreme events (Sub-services: Storm protection; Flood prevention),,,,,,,,,,,,,
,,,,,Regulation of baseline flows and extreme events (liquid flows) ?,5.2.1.2,,,,,,,,,,,,,,,,,,,
Storm mitigation services,,2.15,"Storm mitigation services are the ecosystem contributions of vegetation including linear elements, in mitigating the impacts of wind, sand and other storms (other than water related events) on local communities. This is a final ecosystem service. ",,Wind protection,2.2.1.4,"Environment matters here so extended description included: Near Coastal Marine/Estuarine OR (any of 7 of 9 Terrestrial subclasses)—Composite—Support or Protect Human Health and Life OR Support Protection of Human Property  (code includes prevention of floods that overwhelm farms and ranches, YYY=108)",(1/2)WW.8.(108-110).(1/2/3)ZZ,Regulation of hazards and extreme events,9,Natural hazard regulation,Regulation of extreme events (Sub-services: Storm protection),,,,,,,,,,,,,
,,,,,Mass flows,5.2.1.1,,,,,,,,,,,,,,,,,,,
,,,,,Regulation of baseline flows and extreme events (liquid flows) ?,5.2.1.2,,,,,,,,,,,,,,,,,,,
Noise attenuation services   ,,2.16,Noise attenuation services are the ecosystem contributions to the reduction in the impact of noise on people that mitigates its harmful or stressful effects. This is most commonly a final ecosystem service. ,,Noise attenuation,2.1.2.2,Composite—Aesthetic Appreciation OR Support or Protect Human Health and Life OR Recreation/Tourism OR Cultural/ Spiritual Activities (code includes mitigation of stress to cultivated animals YYY=108),(1/2)WW.8.(106/108/109/111/112).(1/2/3)ZZ,Regulation of hazards and extreme events,9,No equivalent,Waste treatment (Sub-service: Abatement of noise),,,,,,,,,,,,,
Pollination services ,,2.17,Pollination services are the ecosystem contributions by wild pollinators to the fertilization of crops that maintains or increases the abundance and/or diversity of other species that economic units use or enjoy. This may be recorded as a final or intermediate service. ,,Pollination (or 'gamete' dispersal in a marine context),2.2.2.1,(if pollination as crop input) Fauna OR Atmosphere—Support of Plant Cultivation (gamete dispersal is an ecosystem process preceding a final ES),2WW.(1/5).108.(111/161/211/399),Pollination and dispersal of seeds and other propagules,2,Pollination,Pollination,,,,,,,,,,,,,
Biological control services,Pest control services,2.18,Biological control services are the ecosystem contributions to the reduction in the incidence of species that may prevent or reduce the effects of pests on biomass production processes or other economic and human activity. This is may be recorded as a final or intermediate service.,,Pest control (including invasive species) ,2.2.3.1,Fauna OR Composite OR Atmosphere—Support of Plant or Animal Cultivation OR Support Protection of Human Property (not destroyed by swarms),2WW.(1/5/8).(108/110).(111/161/211),Regulation of organisms detrimental to humans,10,Pest regulation,Biological control (Sub-service: Pest control),,,,,,,,,,,,,
,Disease control services,2.19,Disease control services are the ecosystem contributions to the reduction in the incidence of species that may prevent or reduce the effects of species on human health. This is most commonly a final ecosystem service.,,Disease control                                        ,2.2.3.2,,2WW.8.(108-110).(1/2/3)ZZ,Regulation of organisms detrimental to humans,10,,Biological control (Sub-service: Disease control),,,,,,,,,,,,,
Nursery population and habitat maintenance services,,2.20,"Nursery population and habitat maintenance services are the ecosystem contributions necessary for sustaining populations of species that economic units ultimately use or enjoy either through the maintenance of habitats (e.g., for nurseries or migration) or the protection of natural gene pools. This service is an intermediate service and may input to a number of different final ecosystem services including biomass provision and recreation-related services.",,Maintaining nursery populations and habitats (Including gene pool protection),2.2.2.3,(generally an ecosystem process or trait that precedes a final ES; code as if a final ES),(1/2)WW.8.(108/109/111/112/113).(111/161/211/399),Habitat creation and maintenance,1,"""Biodiversity""",Maintenance of life cycles (Sub-service: Nursery service),,,,,,,,,,,,,
Other regulating and maintenance services,,2.21,,,Visual screening                                    ,2.1.2.3,,2WW.8.(106/111/112/113).(1/2/3)ZZ,Regulation of hazards and extreme events,9,"Water purification and water treatment, air quality regulation?","Water purification and water treatment, air quality regulation?",,,,,,,,,,,,,
