SEEA,SEEA (Subtypes),SEEA Code,SEEA Description ,,CICES (v5.1) Class,"CICES Code
",NESCS,"NESCS Code  
(WWW.XXX.YYY.ZZZ)
WWW: Environmental classes
XXX: Ecological end-product classes
YYY: Direct use classes
ZZZ: Direct user classes
",IPBES,"IPBES Reporting Categories of Nature's Contribution to People

",MA,TEEB,,,,,,,,,,,,,
,,,,,Fire protection,2.2.1.5,,2WW.8.(108-110).(1/2/3)ZZ,Materials and assistance,13,Natural hazard regulation?,Moderation of extreme events (Sub-service: Fire prevention),,,,,,,,,,,,,
,,,,,Seed dispersal,2.2.2.2,(redundant to SEEA code 2.15),2WW.(1/5).108.(111/161/211/399),Pollination and dispersal of seeds and other propagules,2,No equivalent,Biological control (Sub-service: Seed dispersal),,,,,,,,,,,,,
,,,,,Disease control                                        ,2.2.3.2,,2WW.8.(108-110).(1/2/3)ZZ,Regulation of organisms detrimental to humans,10,Disease regulation,Biological control (Sub-service: Disease control),,,,,,,,,,,,,
,,,,,Regulation of the chemical condition of salt waters by living processes,2.2.5.2,(not a final ES),,Regulation of freshwater and coastal water quality,7,Water regulation,"Waste treatment (Sub-service: Water purification)
",,,,,,,,,,,,,
,,,,,,,(not a final ES),,,,,Nutrient cycling,,,,,,,,,,,,,
,,,,,,,,,Regulation of ocean acidification,5,,,,,,,,,,,,,,,
Recreation-related services,,3.1,"Recreation-related services are the ecosystem contributions, in particular through the biophysical characteristics and qualities of ecosystems, that enable people to use and enjoy the environment through direct, in-situ, physical and experiential interactions with the environment. This includes services to both locals and non-locals (i.e. visitors, including tourists). Recreation-related services may also be supplied to those undertaking recreational fishing and hunting. This is a final ecosystem service.",,"Characteristics of living systems that that enable activities promoting health, recuperation or enjoyment through active or immersive interactions ",3.1.1.1,Composite OR Flora OR Fauna OR Fungi—Recreation/Tourism,(1/2)WW.(4/5/6/8).(111/112).(1/2/3)ZZ,"Regulation of freshwater quantity, location and timing; Physical and psychological experiences",2021-06-16 00:00:00,Recreation and ecotourism,Opportunities for recreation and tourism (Sub-services: Recreation; Tourism; Ecotourism; Hunting/fishing),,,,,,,,,,,,,
Visual amenity services,,3.2,"Visual amenity services are the ecosystem contributions to local living conditions, in particular through the biophysical characteristics and qualities of ecosystems that provide sensory benefits, especially visual. This service combines with other ecosystem services, including recreation-related services and noise attenuation services to underpin amenity values. This is a final ecosystem service.",,"Characteristics of living systems that enable activities promoting health, recuperation or enjoyment through passive or observational interactions",3.1.1.2,Composite—Aesthetic Appreciation,(1/2)WW.8.106.(1/2/3)ZZ,Physical and psychological experiences,16,Recreation and ecotourism,Aesthetic information,,,,,,,,,,,,,
"Education, scientific and research services",,3.3,"Education, scientific and research services are the ecosystem contributions, in particular through the biophysical characteristics and qualities of ecosystems, that enable people to use the environment through intellectual interactions with the environment. This is a final ecosystem service.",,Characteristics of living systems that enable scientific investigation or the creation of traditional ecological knowledge,3.1.2.1,"(any EEP=XXX)—Information, Science, Education, & Research (""creation of traditional knowledge"" can be YYY=112 or 113, depending on NESCS user preferenceand if 112, may have ZZZ=211, in a non-institutional setting)",(1/2)WW.XXX.(112/113).(154/161/211/392),Learning and inspiration,15,"Knowledge systems and educational values, cultural diversity, aesthetic values",15,,,,,,,,,,,,,
,,,,,Characteristics of living systems that enable education and training,3.1.2.2,,,,,,,,,,,,,,,,,,,
"Spiritual, artistic and symbolic services",,3.4,"Spiritual artistic and symbolic services are the ecosystem contributions, in particular through the biophysical characteristics and qualities of ecosystems, that are recognised by people for their cultural, historical, aesthetic, sacred or religious significance. These services may underpin people’s cultural identity and may inspire people to express themselves through various artistic media. This is a final ecosystem service.",,Characteristics of living systems that enable aesthetic experiences,3.1.2.4,(redundant to SEEA code 3.2),(1/2)WW.8.106.(1/2/3)ZZ,Supporting identities,17,"Knowledge systems and educational values, cultural diversity, aesthetic values","Inspiration for culture, art and design; Aesthetic information",,,,,,,,,,,,,
,,,,,Elements of living systems used for entertainment or representation,3.2.1.3,,(1/2)WW.XXX.(112/113).(161/211/392),Physical and Psychological experiences. Supporting identities,"16, 17",,,,,,,,,,,,,,,
,,,,,Characteristics of living systems that are resonant in terms of culture or heritage,3.1.2.3,(any EEP)—Cultural/Spiritual Activities,(1/2)WW.XXX.112.(161/211/399),Supporting identities,17,,,,,,,,,,,,,,,
,,,,,Elements of living systems that have symbolic meaning,3.2.1.1,"(symbolic interpreted to be for education, art or culture, so a subset of immediately previous rows)",(1/2)WW.XXX.(106/111/112/113).(161/211/392/399),Supporting identities,17,Spiritual and religious values,,,,,,,,,,,,,,
,,,,,Elements of living systems that have sacred or religious meaning,3.2.1.2,,(1/2)WW.XXX.(112/113).(161/211/392/399),Supporting identities,17,,,,,,,,,,,,,,,
Other cultural services ,,3.5,,,,,,(1/2)WW.XXX.114.(1/2/3)ZZ,,,,,,,,,,,,,,,,,
Ecosystem and species appreciation services,,4.1,"Ecosystem and species appreciation concerns the wellbeing that people derive from the existence and preservation of the environment for current and future generations, irrespective of any direct or indirect use.",,Characteristics or features of living systems that have an existence value,3.2.2.1,"(for non-use value like Existence or Bequest, then:) (any EEP)—Non-Use",(1/2)WW.XXX.201-203.(211/399),Physical and psychologial experiences Maintenance of options,"16, 18",No equivalent,No equivalent,,,,,,,,,,,,,
,,,,,Characteristics or features of living systems that have an option or bequest value,3.2.2.2,,,Maintenance of options,18,No equivalent,No equivalent,,,,,,,,,,,,,
